# Protein-1,# Protein-2
PSMC2,PSMD7
PSMC2,RAF1
PSMC2,TBP
PSMC2,TRAF6
PSMC3,PSMD1
PSMC3,PSMD13
PSMC3,PSMD4
PSMC3,PSMD7
PSMC3,TBP
PSMD1,CLTC
PSMD1,PSMD13
PSMD1,PSMD3
PSMD1,PSMD4
PSMD1,PSMD7
PSMD3,COPS3
PSMD3,PSMD13
PSMD3,PSMD4
PSMD3,PSMD7
PSMD4,CREBBP
PSMD4,PSMD13
PSMD4,PSMD7
PSMD4,RELA
PSMD4,SUMO2
PSMD4,TBP
PSMD4,TRAF2
PSMD7,PSMD13
PSMD13,ANAPC5
PSMD13,PSMB5
PTK2,ABL1
PTK2,PTK6
PTK2,SHC1
PTK2,STAT1
PTK2,STAT2
PTK2,STAT3
PTK2,STAT5A
PTK2,STAT5B
PTK6,ABL1
PTK6,CREBBP
PTK6,SHC1
PTK6,STAT1
PTK6,STAT2
PTK6,STAT3
PTK6,STAT5A
PTK6,STAT5B
PTK6,VAV2
PTPN12,APC
PTPN12,PRKAR1A
PTPN12,STAT1
PTPN12,STAT5A
PTPN12,STAT5B
PTPN12,WASL
RAC1,SMAD2
RACK1,GRB2
RACK1,HRAS
RACK1,NSMAF
RACK1,PRKCA
RACK1,PRKCD
RACK1,RPL4
RACK1,RPS13
RACK1,SDC2
RACK1,SHC1
RAF1,PAPOLA
RAF1,PRKAR1A
RAF1,RHOA
RAF1,SF1
RAF1,SMAD2
RAF1,SMAD4
RAF1,STAT1
RAF1,STAT3
RAF1,STAT5A
RAF1,STAT5B
RAF1,TP53
RALBP1,ABL1
RALBP1,BTK
RALBP1,CDC42
RALBP1,CSK
RALBP1,MTIF2
RALBP1,NRAS
RALBP1,RAC1
RALBP1,RALB
RALBP1,RAN
RALBP1,RHOA
RAN,HDAC1
RAN,NUP214
RAN,RELA
RAP30,CDK9
RAP30,POLR2L
RAP30,TBP
RBPSUH,CREBBP
RBPSUH,CTBP1
RBPSUH,DLL4
RBPSUH,FHL1
RBPSUH,HDAC1
RBPSUH,HDAC2
RBPSUH,MAML1
RBPSUH,NFKB1
RBPSUH,NOTCH2
RBPSUH,SNW1
RBPSUH,SPEN
RELA,RGS16
RELA,SMAD2
RELA,SP1
RELA,STAT1
RELA,STAT3
RELA,STAT5A
RELA,STAT5B
RELA,TP53
REPS1,CRK
REPS1,GRB2
REPS1,RALB
REPS1,RALBP1
REPS1,REPS2
REPS2,CRKL
RHOA,PRKAR1A
RHOA,SMAD1
RHOA,SMAD2
RIPK1,STAT1
RIPK1,TRADD
RIPK1,TRAF2
RKIP,CDH1
RKIP,NFKB1
RKIP,PRKCA
RKIP,PRKCD
RKIP,RAF1
RKIP,TRAF6
RPA5,POLR1A
RPA5,POLR1D
RPA5,POLR2L
RPL4,RPL8
RPL4,STAT5A
RPL6,RPL8
SAM68,BTK
SAM68,CD44
SAM68,CRK
SAM68,CSK
SAM68,GRB10
SAM68,GRB2
SAM68,PLCG1
SAM68,PTK6
SAM68,STAT3
SAP97,ADAM10
SF1,APC
SHIP2,AKT1
SHIP2,AKT2
SHIP2,CRK
SHIP2,GAB2
SHIP2,GRB2
SHIP2,PLCE1
SHIP2,PLCG1
SHIP2,SHC1
SHP2,AKT1
SHP2,CEACAM1
SHP2,ERBB2
SHP2,GAB1
SHP2,GAB2
SHP2,GRB2
SHP2,HRAS
SHP2,NRAS
SHP2,PTK2
SHP2,PXN
SHP2,STAT1
SHP2,STAT3
SHP2,STAT5A
SKP1,AXIN1
SKP1,CDKN1A
